year,km_driven,mileage,engine,max_power,torque,max_torque_rpm,name,fuel,seller_type,transmission,owner,seats,selling_price
2017,10000,18.9,1197,81.86,113.75,4000.0,Hyundai,Petrol,Individual,Automatic,First Owner,5,550000
2018,30000,21.63,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,475000
2017,22000,15.73,1968,174.33,380.0,2500.0,Audi,Diesel,Dealer,Automatic,First Owner,5,2825000
2020,5500,26.8,1597,118.0,300.0,2000.0,Honda,Diesel,Dealer,Manual,First Owner,5,2125000
2018,18000,19.62,1998,190.0,400.0,2500.0,BMW,Diesel,Dealer,Automatic,First Owner,5,3350000
2018,20000,11.36,2755,171.5,360.0,3400.0,Toyota,Diesel,Dealer,Automatic,First Owner,8,1800000
2018,7000,20.3,1086,68.0,99.0,4500.0,Hyundai,Petrol,Dealer,Manual,First Owner,5,540000
2018,20000,17.0,2596,80.8,230.0,2000.0,Force,Diesel,Dealer,Manual,First Owner,5,910000
2019,4875,21.63,998,67.04,90.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,484999
2020,2700,17.01,1582,126.2,259.9,2750.0,Hyundai,Diesel,Dealer,Automatic,First Owner,5,1950000
2015,105000,25.83,1498,99.0,215.0,3000.0,Ford,Diesel,Dealer,Manual,First Owner,5,365000
2018,26235,16.55,2498,105.0,247.0,2000.0,Mahindra,Diesel,Dealer,Manual,First Owner,6,900000
2017,26766,21.5,1497,108.5,260.0,2750.0,Tata,Diesel,Dealer,Manual,First Owner,5,919999
2020,1600,13.96,1451,141.0,250.0,3600.0,MG,Petrol,Dealer,Automatic,First Owner,5,1900000
2018,46000,15.8,2148,170.0,42.0,2000.0,Mercedes-Benz,Diesel,Dealer,Manual,First Owner,5,2950000
2019,23000,17.3,1497,121.0,300.0,2500.0,Mahindra,Diesel,Dealer,Manual,First Owner,7,1075000
2017,24522,20.4,1197,81.8,113.0,4200.0,Maruti,Petrol,Dealer,Manual,First Owner,5,600000
2017,13663,22.69,1995,190.0,400.0,2500.0,BMW,Diesel,Dealer,Automatic,First Owner,5,3200000
2019,11000,19.3,1968,141.0,320.0,3000.0,Skoda,Diesel,Dealer,Automatic,First Owner,5,2600000
2016,63000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Dealer,Manual,First Owner,5,839000
2019,2000,16.2,1199,74.0,110.0,4300.0,Volkswagen,Petrol,Dealer,Manual,First Owner,5,635000
2014,300000,12.05,2179,120.0,290.0,2800.0,Mahindra,Diesel,Individual,Manual,Third Owner,8,550000
2011,190000,19.2,1461,65.0,16.0,2000.0,Mahindra,Diesel,Individual,Manual,Third Owner,5,180000
2015,80000,26.0,1498,98.6,200.0,1750.0,Honda,Diesel,Individual,Manual,First Owner,5,650000
2015,54000,23.95,998,67.05,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,265000
2019,5000,15.37,1196,73.0,101.0,3000.0,Maruti,Petrol,Individual,Manual,First Owner,7,395000
2015,58945,18.49,1493,100.0,240.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,700000
2012,90000,20.0,1399,68.0,160.0,2000.0,Ford,Diesel,Individual,Manual,First Owner,5,300000
2013,160000,20.77,1248,88.76,200.0,1750.0,Maruti,Diesel,Individual,Manual,Third Owner,7,625000
2014,80000,15.11,1598,103.6,250.0,2500.0,Volkswagen,Diesel,Individual,Manual,Second Owner,5,425000
2004,50000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,Third Owner,4,55000
2015,156975,15.96,2523,62.1,195.0,2200.0,Mahindra,Diesel,Individual,Manual,First Owner,9,459999
2017,5000,21.43,1364,86.79,205.0,2800.0,Toyota,Diesel,Individual,Manual,First Owner,5,1594000
2014,50000,18.2,1199,82.4,108.5,5000.0,Chevrolet,Petrol,Individual,Manual,First Owner,5,300000
2013,120000,12.05,2179,120.0,290.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,9,484999
2009,120000,14.0,2498,112.0,260.0,2200.0,Mahindra,Diesel,Individual,Manual,Third Owner,8,161000
2015,58000,17.19,1197,81.86,114.73,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,500000
2012,50000,16.95,1498,97.7,134.0,4000.0,Nissan,Petrol,Individual,Manual,First Owner,5,350000
2017,40000,20.89,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Automatic,First Owner,5,550000
2018,7800,17.5,1199,88.7,110.0,4800.0,Honda,Petrol,Individual,Manual,First Owner,5,850000
2016,50000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,240000
2011,68000,13.1,2499,141.0,330.0,1800.0,Ford,Diesel,Individual,Manual,First Owner,7,950000
2015,60000,16.02,1373,93.7,130.0,4000.0,Maruti,Petrol,Individual,Manual,Second Owner,7,423000
2005,74000,12.8,1396,85.0,12.0,3500.0,Tata,Petrol,Individual,Manual,Second Owner,5,90000
2011,58000,13.93,2179,138.1,320.0,2700.0,Tata,Diesel,Individual,Manual,Second Owner,7,350000
2011,70000,19.0,998,66.1,90.0,3500.0,Maruti,Petrol,Individual,Manual,Third Owner,5,170000
2015,70000,18.16,1196,86.8,112.0,4000.0,Ford,Petrol,Individual,Manual,First Owner,5,450000
2002,80000,19.3,1248,81.86,153.0,2800.0,Hyundai,Petrol,Individual,Manual,Third Owner,5,75000
2016,80000,22.54,1396,88.73,219.7,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,511000
2018,110000,25.0,1396,69.0,140.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,250000
2020,25000,21.63,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,420000
2014,55000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,180000
2015,25000,27.62,793,47.0,125.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,400000
2016,143200,25.83,1498,99.0,215.0,3000.0,Ford,Diesel,Individual,Manual,First Owner,5,500000
2017,60000,17.1,1956,170.0,350.0,2500.0,Jeep,Diesel,Individual,Manual,First Owner,5,1689999
2012,120000,23.08,1461,63.1,160.0,2000.0,Nissan,Diesel,Individual,Manual,First Owner,5,204999
2014,145000,26.21,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,Second Owner,5,459999
2019,8000,18.9,1197,81.86,113.75,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,585000
2012,170000,13.1,2499,141.0,330.0,1800.0,Ford,Diesel,Individual,Manual,First Owner,7,551000
2013,100000,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,525000
2012,62000,14.0,796,35.0,59.820564999999995,3000.0,Maruti,Petrol,Individual,Manual,First Owner,5,160000
2014,110000,15.1,2179,140.0,330.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,825000
2007,137000,19.3,1248,81.86,153.0,2800.0,Hyundai,CNG,Individual,Manual,First Owner,5,127000
2015,80000,13.58,2499,72.4,171.0,1800.0,Chevrolet,Diesel,Individual,Manual,Second Owner,9,600000
2002,80000,17.3,993,60.0,78.0,4500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,65000
2013,100000,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,550000
2015,120000,15.96,2523,63.0,180.0,1500.0,Mahindra,Diesel,Individual,Manual,First Owner,9,650000
2019,24000,28.4,1248,74.02,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,750000
2017,80000,25.32,1198,77.0,190.0,2250.0,Mahindra,Diesel,Individual,Manual,First Owner,6,380000
2012,138000,22.32,1582,126.32,259.8,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,400000
2003,147000,18.9,998,67.1,90.0,3500.0,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,5,50000
2017,60000,18.49,1493,100.0,240.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,750000
2011,80000,18.0,995,62.0,90.3,4200.0,Chevrolet,Petrol,Individual,Manual,First Owner,5,150000
2013,189000,21.02,1248,88.76,200.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,260000
2014,90000,21.21,1498,103.2,250.0,2500.0,Volkswagen,Diesel,Individual,Automatic,Second Owner,5,411000
2014,56000,21.9,1396,88.76,219.6,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,450000
2012,140000,18.88,1995,184.0,380.0,2750.0,BMW,Diesel,Individual,Automatic,Second Owner,5,1300000
2016,60000,23.1,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,351000
2012,130000,15.1,2179,140.0,330.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,550000
2013,140000,18.88,1995,184.0,380.0,2750.0,BMW,Diesel,Individual,Automatic,Second Owner,5,1300000
2015,35000,20.45,1461,83.8,200.0,1900.0,Nissan,Diesel,Individual,Manual,First Owner,5,800000
2011,156000,11.57,2179,138.1,320.0,2700.0,Tata,Diesel,Individual,Manual,First Owner,7,350000
2013,90000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,200000
2008,60000,17.0,1405,70.0,13.5,2500.0,Tata,Diesel,Individual,Manual,Third Owner,5,150000
2016,36000,19.01,1461,108.5,248.0,2250.0,Nissan,Diesel,Individual,Manual,First Owner,5,800000
2011,160000,13.93,2179,138.0,320.0,2700.0,Tata,Diesel,Individual,Manual,First Owner,7,350000
2006,185000,12.7,2609,116.6,28.3,1700.0,Mahindra,Diesel,Individual,Manual,First Owner,9,250000
2010,110000,17.0,1405,71.0,135.0,2500.0,Tata,Diesel,Individual,Manual,Second Owner,5,170000
2018,10800,25.17,799,53.3,72.0,4386.0,Renault,Petrol,Individual,Manual,First Owner,5,395000
2019,15000,20.89,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,500000
2012,67500,12.2,1948,68.0,115.0,2500.0,Tata,Diesel,Individual,Manual,First Owner,10,200000
2017,30000,17.6,2179,153.86,400.0,2500.0,Tata,Diesel,Individual,Manual,First Owner,7,1200000
2016,50000,25.32,1198,77.0,190.0,2250.0,Mahindra,Diesel,Individual,Manual,First Owner,6,400000
2016,100000,18.49,1493,100.0,240.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,650000
2016,150000,15.96,2523,63.0,180.0,1500.0,Mahindra,Diesel,Individual,Manual,First Owner,9,550000
2012,30000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,254999
2011,60000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,First Owner,5,180000
2010,255000,13.0,2489,95.0,220.0,2600.0,Mahindra,Diesel,Individual,Manual,Second Owner,8,160000
2008,120000,16.52,1991,123.7,305.0,2000.0,Chevrolet,Diesel,Individual,Manual,Second Owner,5,225000
2015,49900,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,270000
2015,71850,20.63,1198,67.0,104.0,4000.0,Datsun,Petrol,Individual,Manual,First Owner,5,225000
2015,95000,21.2,1248,75.0,197.0,1750.0,Fiat,Diesel,Individual,Manual,Third Owner,5,300000
2008,70000,17.5,1298,85.8,114.0,4000.0,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,5,250000
2011,35000,21.1,814,55.2,74.5,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,180000
2015,50000,20.85,1197,83.14,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,550000
2007,120000,13.6,2523,63.0,180.0,1500.0,Mahindra,Diesel,Individual,Manual,Third Owner,7,300000
2015,145000,22.7,1582,126.2,259.88,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,900000
2018,40000,16.0,2179,138.0,330.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,1530000
2015,110000,27.39,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,590000
2008,112000,9.342,1061,57.5,7.8,4500.0,Maruti,LPG,Individual,Manual,Second Owner,5,170000
2017,70000,20.38,1968,143.0,320.0,3000.0,Audi,Diesel,Individual,Automatic,First Owner,5,2600000
2016,110000,23.2,1248,73.94,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,475000
2018,29000,24.0,1186,73.97,190.24,2250.0,Hyundai,Diesel,Individual,Manual,First Owner,5,700000
2002,120000,19.3,1248,81.86,153.0,2800.0,Hyundai,Petrol,Individual,Manual,Fourth & Above Owner,5,100000
2012,120000,11.79,2179,120.0,290.0,2800.0,Mahindra,Diesel,Individual,Automatic,Third Owner,8,440000
2012,159000,12.8,2494,102.0,20.4,1400.0,Toyota,Diesel,Individual,Manual,Second Owner,7,725000
2012,110000,15.96,2523,62.1,195.0,2200.0,Mahindra,Diesel,Individual,Manual,Second Owner,7,325000
2010,75000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,170000
2010,120000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,Third Owner,5,215000
2010,110000,17.0,1497,118.0,146.0,4800.0,Honda,Petrol,Individual,Manual,Third Owner,5,350000
2009,80000,18.0,995,62.0,90.3,4200.0,Chevrolet,Petrol,Individual,Manual,Fourth & Above Owner,5,80000
2011,85000,19.3,1248,81.86,153.0,2800.0,Maruti,Diesel,Individual,Manual,First Owner,5,280000
2014,71000,21.64,1461,84.8,200.0,2000.0,Nissan,Diesel,Dealer,Manual,First Owner,5,335000
2011,108000,16.0,2179,140.0,330.0,2800.0,Mahindra,Diesel,Dealer,Manual,First Owner,7,475000
2015,75000,19.87,1461,83.8,200.0,1750.0,Renault,Diesel,Dealer,Manual,First Owner,5,484999
2018,22000,21.56,1462,103.25,138.0,4400.0,Maruti,Petrol,Individual,Manual,Second Owner,5,650000
2014,76131,13.22,2967,241.4,580.0,3250.0,Audi,Diesel,Individual,Automatic,First Owner,5,1850000
2018,30000,18.6,1197,81.83,114.7,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,700000
2014,65000,12.07,2967,241.4,550.0,2750.0,Audi,Diesel,Individual,Automatic,First Owner,7,3000000
2018,60000,15.4,2523,75.0,200.0,2200.0,Mahindra,Diesel,Individual,Manual,First Owner,7,900000
2013,80000,22.07,1199,73.9,180.0,2000.0,Volkswagen,Diesel,Individual,Manual,First Owner,5,350000
2005,80000,9.0,2997,218.0,196.0,5000.0,Honda,Petrol,Individual,Automatic,Second Owner,5,285000
2012,70000,12.07,2967,241.4,550.0,2750.0,Audi,Diesel,Individual,Automatic,First Owner,7,1850000
2017,51777,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Dealer,Manual,First Owner,5,750000
2013,64788,0.0,2179,115.0,400.0,2800.0,Land,Diesel,Dealer,Automatic,First Owner,5,1650000
2018,20000,19.5,1199,88.76,110.0,4800.0,Honda,Petrol,Individual,Manual,First Owner,5,600000
2018,19000,18.78,999,75.0,95.0,4300.0,Volkswagen,Petrol,Individual,Manual,First Owner,5,565000
2000,46951,18.5,796,53.0,71.0,3500.0,Daewoo,Petrol,Individual,Manual,First Owner,5,86000
2016,19000,20.63,1198,67.0,104.0,4000.0,Datsun,Petrol,Individual,Manual,First Owner,5,329000
2016,50000,22.77,1498,98.59,205.0,3250.0,Ford,Diesel,Individual,Manual,First Owner,5,650000
2015,60000,19.67,1582,126.2,259.9,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,822000
2013,100000,19.01,1461,108.45,248.0,2250.0,Renault,Diesel,Individual,Manual,Second Owner,5,345000
2001,10000,17.3,993,60.0,78.0,4500.0,Maruti,Petrol,Individual,Manual,First Owner,5,30000
2012,50000,22.9,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,330000
2014,74537,20.51,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,300000
2009,90000,12.6,1586,103.3,145.0,4100.0,Maruti,Petrol,Individual,Automatic,Second Owner,5,200000
2010,70000,18.0,995,62.0,90.3,4200.0,Chevrolet,Petrol,Individual,Manual,Second Owner,5,90000
2010,80000,18.9,1061,67.0,84.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,200000
2016,35000,24.4,1120,71.0,180.4,2500.0,Hyundai,Diesel,Individual,Manual,First Owner,5,550000
2015,23500,18.6,1199,76.8,106.5,4400.0,Chevrolet,Petrol,Individual,Manual,First Owner,5,250000
2017,82000,25.6,1498,97.9,200.0,1750.0,Honda,Diesel,Individual,Manual,First Owner,5,975000
2014,100000,12.99,2494,100.6,200.0,3600.0,Toyota,Diesel,Individual,Manual,Second Owner,8,900000
2018,15000,18.6,1197,81.83,114.7,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,610000
2017,30000,27.39,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,620000
2016,30000,18.9,1197,82.0,114.0,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,400000
2019,11000,21.63,998,67.0,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,500000
2017,140000,19.02,1198,67.05,104.0,4000.0,Datsun,Petrol,Individual,Manual,First Owner,7,200000
2012,48000,20.92,998,67.1,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,252000
2012,70000,22.9,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,280000
2018,70000,22.0,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,Second Owner,5,509999
2016,58000,15.4,1997,120.0,280.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,1050000
2010,40000,9.342,1061,57.5,7.8,4500.0,Maruti,LPG,Individual,Manual,Fourth & Above Owner,5,200000
2010,40000,14.0,2498,112.0,260.0,2200.0,Mahindra,Diesel,Individual,Manual,Second Owner,7,320000
2013,110000,12.05,2179,120.0,290.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,9,520000
2007,80000,11.57,2179,138.1,320.0,2700.0,Tata,Diesel,Individual,Manual,Second Owner,7,250000
2017,60000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,725000
2011,100000,22.9,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,235000
2012,52000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,Third Owner,5,350000
2010,80000,19.81,1086,68.05,99.04,4500.0,Hyundai,Petrol,Individual,Manual,Third Owner,5,131000
2016,85000,25.8,1498,98.6,200.0,1750.0,Honda,Diesel,Individual,Manual,First Owner,5,450000
2016,83000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,750000
2009,120000,18.9,1061,67.0,84.0,3500.0,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,5,125000
2014,100000,15.96,2523,62.1,195.0,2200.0,Mahindra,Diesel,Individual,Manual,First Owner,7,500000
2012,70000,22.9,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Third Owner,5,380000
2008,19000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,First Owner,5,128000
2009,68600,17.0,1497,118.0,146.0,4800.0,Honda,Petrol,Individual,Manual,Third Owner,5,250000
2012,40000,16.8,1497,116.3,146.0,4800.0,Honda,Petrol,Individual,Manual,Second Owner,5,560000
2012,160000,19.3,1248,81.86,153.0,2800.0,Tata,Diesel,Individual,Manual,Second Owner,5,120000
2016,25000,23.1,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,400000
2012,29500,20.92,998,67.1,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,200000
2016,50000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,300000
2016,30000,25.17,799,53.3,72.0,4386.0,Renault,Petrol,Individual,Manual,Second Owner,5,315000
2012,100000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,220000
2011,60000,14.49,1399,92.7,127.0,3500.0,Chevrolet,Petrol,Individual,Manual,Second Owner,5,130000
2016,60000,22.54,1396,88.73,219.7,2750.0,Hyundai,Diesel,Individual,Manual,Second Owner,5,595000
2017,13500,17.0,1497,121.36,150.0,4500.0,Ford,Petrol,Individual,Manual,First Owner,5,680000
2017,30000,21.4,1197,83.1,115.0,4000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,530000
2017,14000,19.1,1197,82.0,114.0,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,610000
2014,90000,15.05,2179,147.9,320.0,3000.0,Tata,Diesel,Individual,Manual,Second Owner,7,500000
2018,50000,24.7,1047,69.0,140.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,500000
2018,10000,21.1,814,55.2,74.5,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,325000
2018,10000,21.4,1197,83.1,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,550000
2018,25000,20.73,1373,91.1,130.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,720000
2017,20000,17.0,1591,121.3,151.0,4850.0,Hyundai,Petrol,Individual,Manual,First Owner,5,950000
2013,60000,22.9,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,350000
2018,40000,18.9,1197,81.86,113.75,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,500000
2012,60000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,380000
2015,50000,16.9,1197,82.0,114.0,4000.0,Hyundai,Petrol,Individual,Automatic,First Owner,5,380000
2017,35000,24.7,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,295000
2016,40000,28.09,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,640000
2018,60000,21.5,1497,108.5,260.0,2750.0,Tata,Diesel,Individual,Manual,First Owner,5,790000
2015,20000,17.01,1591,121.4,154.9,4200.0,Hyundai,Petrol,Individual,Manual,First Owner,5,625000
2017,30000,17.0,1497,121.36,150.0,4500.0,Ford,Petrol,Individual,Manual,Second Owner,5,604000
2019,17000,20.0,1497,115.0,300.0,2500.0,Mahindra,Diesel,Individual,Manual,First Owner,5,950000
2017,50000,20.51,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,400000
2018,42000,18.6,1368,98.63,132.3,4000.0,Hyundai,Petrol,Individual,Automatic,First Owner,5,700000
2011,120000,12.8,2494,102.0,20.4,1400.0,Toyota,Diesel,Individual,Manual,Second Owner,8,700000
2012,110000,21.03,1461,65.0,160.0,2000.0,Mahindra,Diesel,Individual,Manual,First Owner,5,260000
2012,90000,23.57,1396,70.0,140.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,200000
2020,70000,23.26,1197,88.5,113.0,4400.0,Maruti,Petrol,Individual,Manual,First Owner,5,580000
2011,66000,20.5,1598,105.0,250.0,2500.0,Volkswagen,Diesel,Individual,Manual,Second Owner,5,330000
2011,70000,16.2,1493,110.0,235.3596,2750.0,Hyundai,Diesel,Individual,Manual,Third Owner,5,400000
2018,5000,14.8,1591,121.3,151.0,4850.0,Hyundai,Petrol,Individual,Automatic,First Owner,5,1350000
2014,50000,21.03,1461,65.0,160.0,2000.0,Mahindra,Diesel,Individual,Manual,Second Owner,5,250000
2019,25000,15.41,1598,103.2,153.0,3800.0,Skoda,Petrol,Individual,Manual,First Owner,5,725000
2013,70000,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,300000
2006,40000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,Second Owner,4,120000
2016,110000,16.0,2179,140.0,330.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,1175000
2014,45000,19.1,1405,70.0,135.4,2500.0,Tata,Diesel,Individual,Manual,First Owner,5,400000
2005,90000,16.1,1405,70.0,13.5,2500.0,Tata,Diesel,Individual,Manual,Third Owner,5,140000
2003,83000,13.8,1299,70.0,10.7,2500.0,Ford,Petrol,Individual,Manual,Second Owner,5,110000
2011,106000,16.96,1968,138.1,320.0,2500.0,Volkswagen,Diesel,Individual,Automatic,Second Owner,5,550000
2008,60000,15.26,1150,74.9,110.0,4400.0,Chevrolet,Petrol,Individual,Manual,Fourth & Above Owner,5,150000
2017,40000,16.8,796,34.2,59.0,2500.0,Maruti,Petrol,Individual,Manual,Second Owner,8,265000
2011,138000,17.0,1197,80.0,111.79581,4000.0,Hyundai,Petrol,Individual,Manual,Third Owner,5,300000
2015,80000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,280000
2005,50000,15.3,1341,83.0,115.0,3200.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,130000
2015,50000,18.2,1199,82.4,108.5,5000.0,Chevrolet,Petrol,Individual,Manual,First Owner,5,350000
2009,120000,18.5,1197,85.8,114.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,200000
2018,24400,22.0,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,550000
2013,60000,15.96,2523,62.1,195.0,2200.0,Mahindra,Diesel,Individual,Manual,Second Owner,7,400000
2010,120000,18.5,1197,85.8,114.0,4000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,170000
2015,60000,24.8,1396,88.7,219.7,2750.0,Hyundai,Diesel,Individual,Manual,Second Owner,5,600000
2011,100000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,130000
2007,60000,19.3,1248,81.86,153.0,2800.0,Hyundai,CNG,Individual,Manual,Second Owner,5,120000
2011,120000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,Second Owner,4,100000
2007,10000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,First Owner,4,35000
2010,120000,18.5,1197,80.0,111.79581,4000.0,Hyundai,Petrol,Individual,Manual,Third Owner,5,200000
2009,70000,19.3,1248,81.86,153.0,2800.0,Maruti,Diesel,Individual,Manual,Second Owner,5,270000
2015,90000,24.4,1120,71.01,180.4,2500.0,Hyundai,Diesel,Individual,Manual,First Owner,5,509999
2014,188000,19.01,1461,108.45,248.0,2250.0,Renault,Diesel,Individual,Manual,Second Owner,5,409999
2011,67840,18.0,995,62.0,90.3,4200.0,Chevrolet,Petrol,Individual,Manual,First Owner,5,130000
2016,35000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,225000
2010,150000,19.3,1248,81.86,153.0,2800.0,Maruti,Diesel,Individual,Manual,Second Owner,5,256999
2017,100000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,775000
2017,30000,20.51,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,420000
2016,70000,18.9,1197,82.0,114.0,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,480000
2003,149032,19.3,1248,81.86,153.0,2800.0,Toyota,Diesel,Individual,Manual,First Owner,5,200000
2010,380000,13.6,2523,63.0,180.0,1500.0,Mahindra,Diesel,Individual,Manual,Second Owner,7,260000
2011,84050,19.3,1248,81.86,153.0,2800.0,Toyota,Petrol,Individual,Manual,First Owner,5,210000
2018,15000,16.2,1199,74.0,110.0,4300.0,Volkswagen,Petrol,Individual,Manual,First Owner,5,600000
2010,120000,19.7,796,35.0,59.820564999999995,3000.0,Maruti,Petrol,Individual,Manual,Third Owner,8,130000
2007,112880,25.2,1248,74.0,190.0,2000.0,Maruti,Diesel,Dealer,Manual,First Owner,5,195000
2013,135000,19.4,1405,70.0,135.4,2500.0,Tata,Diesel,Dealer,Manual,Second Owner,5,210000
